"GitHub ID","Команда","Статус","Трек","SHA","Файлов в снимке","GitHub"
"1381650116","Turarbek-2005","discovered","","","0","https://github.com/BAITC-Hacks/hack-f48f66b9-turarbek-2005"
"1381700652","turkestan","discovered","","","0","https://github.com/BAITC-Hacks/hack-550f3b10-turkestan"
"1372800838","Turtle","discovered","","","0","https://github.com/BAITC-Hacks/hack-fa5087f9-turtle"
"1381697361","Tushkanchikus","ready","","bbf2a13b4395420da27193c652c185191216d792","1","https://github.com/BAITC-Hacks/hack-185ec976-tushkanchikus"
"1378675254","TussemCorp","ready","","989e1ffd2d3e41febe1b693ae1c306b8afa115ff","1","https://github.com/BAITC-Hacks/hack-30b4c7f7-tussemcorp"
"1361437490","Tutorix","discovered","","","0","https://github.com/BAITC-Hacks/hack-96a3bc9c-tutorix"
"1381725272","Tuttyrulsss","discovered","","","0","https://github.com/BAITC-Hacks/hack-aacf0396-tuttyrulsss"
"1361488823","Tuzet","ready","","b0b0e92916e9a4f60a05970b76fa6cdff38dba31","59","https://github.com/BAITC-Hacks/hack-159c5b29-tuzet"
"1356897200","Twin Pin","ready","","60d9f377db9d285679ce83350f20c160eca3d325","1","https://github.com/BAITC-Hacks/hack-2591479b-twin-pin"
"1358524770","TΞSTING","discovered","","","0","https://github.com/BAITC-Hacks/hack-b0e0ddb6-t-sting"
"1371417896","TΞSTING","discovered","","","0","https://github.com/BAITC-Hacks/hack-4511178d-t-sting"
"1379594364","TΞSTING","ready","","c29f54b7bd83a2eead4caff817c331c9b5a5e1ae","1","https://github.com/BAITC-Hacks/hack-0d40cdbb-t-sting"
"1378407827","UB","discovered","","","0","https://github.com/BAITC-Hacks/hack-8a4ed672-ub"
"1372854940","UID Labs","ready","","70e3d631dc211011b630eb267e97cac1304f98fb","49","https://github.com/BAITC-Hacks/hack-19d23d4c-uid-labs"
"1379675015","UID Labs","discovered","","","0","https://github.com/BAITC-Hacks/hack-a2508018-uid-labs"
"1374084024","Uitech","discovered","","","0","https://github.com/BAITC-Hacks/hack-3cde68bb-uitech"
"1381762291","ulacoder","discovered","","","0","https://github.com/BAITC-Hacks/hack-94df935e-ulacoder"
"1381651527","ulank","discovered","","","0","https://github.com/BAITC-Hacks/hack-56123d30-ulank"
"1381744281","ulkei","ready","","380a6098fee4eda45af8eae70b74386bfe8f9254","1","https://github.com/BAITC-Hacks/hack-00851e68-ulkei"
"1374127181","Ultima","discovered","","","0","https://github.com/BAITC-Hacks/hack-5b2fd688-ultima"
"1373180963","Ultix","discovered","","","0","https://github.com/BAITC-Hacks/hack-e3c58b48-ultix"
"1381718821","ulyqpan","discovered","","","0","https://github.com/BAITC-Hacks/hack-969c67c3-ulyqpan"
"1381693502","ulzan018-astana","discovered","","","0","https://github.com/BAITC-Hacks/hack-ab245a68-ulzan018-astana"
"1377310626","Umay-Terratech","discovered","","","0","https://github.com/BAITC-Hacks/hack-944601b5-umay-terratech"
"1380349166","UMIT","ready","","e3be278f54b0f3c4af0126fd535c8009b95e1de4","1","https://github.com/BAITC-Hacks/hack-233ecda2-umit"
